alcohol,citric acid,sulphates,chlorides,Total_Acidity,pH,Bounded_Sulfur_Dioxide,OUTPUT_LABEL
9.5,0.34,0.49,0.049,6.6,3.3,118.0,0
11.9,0.26,0.81,0.033,6.34,3.19,73.0,1
10.5,0.19,0.66,0.046,6.88,3.32,104.0,0
9.7,0.37,0.51,0.025,6.16,3.46,74.0,0
9.2,0.49,0.52,0.048,8.55,3.03,178.0,0
10.7,0.27,0.36,0.03,6.48,3.2,82.0,0
9.1,0.24,0.32,0.028999999999999998,7.63,3.16,57.0,0
10.1,0.3,0.5,0.038,7.95,3.1,129.0,0
10.7,0.35,0.63,0.038,7.090000000000001,3.0,69.0,0
10.3,0.44,0.75,0.043,7.76,3.11,84.0,0
10.1,0.3,0.51,0.046,6.85,3.42,102.0,1
13.0,0.33,0.3,0.03,5.3,3.36,119.0,1
9.2,0.49,0.52,0.065,6.4,3.22,126.0,0
11.2,0.32,0.55,0.040999999999999995,7.12,3.17,99.0,0
11.2,0.49,0.6,0.055999999999999994,8.32,3.29,132.0,1
12.2,0.35,0.42,0.03,7.970000000000001,3.11,87.0,0
9.6,0.26,0.5,0.05,6.720000000000001,3.14,127.0,0
10.1,0.21,0.33,0.035,6.53,3.36,113.0,1
9.5,0.42,0.47,0.033,6.27,2.87,96.0,0
11.1,0.49,0.3,0.049,7.73,3.14,148.0,1
9.3,0.42,0.56,0.21100000000000002,8.55,2.99,176.0,0
9.5,0.33,0.48,0.057,6.95,3.02,121.0,1
11.5,0.32,0.38,0.031,5.65,3.26,83.0,1
10.2,0.28,0.42,0.042,6.369999999999999,3.14,64.0,0
10.0,0.26,0.47,0.147,7.26,3.14,110.0,0
10.9,0.46,0.49,0.036000000000000004,6.84,3.37,77.0,0
12.0,0.31,0.31,0.036000000000000004,7.31,2.98,95.0,1
9.1,0.6,0.44,0.132,7.08,3.09,85.0,0
10.5,0.49,0.98,0.053,6.640000000000001,3.01,95.0,0
10.4,0.3,0.58,0.043,7.05,3.03,80.0,0
10.15,0.34,0.58,0.034,6.26,3.32,83.0,1
9.8,0.33,0.45,0.038,5.62,3.25,108.0,0
11.2,0.4,0.54,0.037000000000000005,8.299999999999999,3.12,68.0,0
8.8,0.62,0.44,0.045,7.74,3.16,102.0,0
13.1,0.3,0.4,0.036000000000000004,6.43,3.31,94.0,1
13.3,0.4,0.39,0.040999999999999995,6.93,3.11,51.0,1
12.2,0.24,0.38,0.031,7.53,2.9,57.0,0
9.5,0.2,0.42,0.045,6.29,3.33,142.0,0
8.8,0.27,0.41,0.057,7.49,2.94,110.0,1
12.7,0.3,0.31,0.039,6.31,3.27,89.0,0
9.5,0.52,0.51,0.049,6.79,3.16,157.0,0
10.8,0.28,0.44,0.036000000000000004,5.965,3.36,104.0,1
10.5,0.33,0.54,0.03,7.2,2.88,51.0,0
13.4,0.31,0.29,0.02,6.64,3.22,50.0,1
10.6,0.24,0.56,0.044000000000000004,7.98,3.27,128.0,0
9.7,0.35,0.79,0.048,6.5,3.43,72.0,0
9.1,0.38,0.46,0.045,6.45,3.17,154.0,0
11.4,0.38,0.73,0.044000000000000004,6.430000000000001,3.3,101.0,0
10.2,0.5,0.55,0.036000000000000004,7.1000000000000005,3.15,89.0,0
11.5,0.31,0.31,0.046,6.72,3.15,89.0,0
9.9,0.4,0.52,0.055999999999999994,7.69,3.06,60.0,0
9.2,0.39,0.53,0.04,7.9399999999999995,3.11,170.0,0
12.5,0.32,0.67,0.032,7.66,3.1,164.0,0
12.8,0.34,0.33,0.037000000000000005,6.08,3.36,101.0,1
8.8,0.36,0.43,0.039,6.430000000000001,3.23,93.0,0
12.2,0.05,0.46,0.036000000000000004,7.55,3.26,145.0,0
9.2,0.32,0.68,0.049,6.65,3.19,135.0,0
9.1,0.31,0.64,0.062,7.75,3.27,145.0,0
9.4,0.33,0.52,0.043,7.3100000000000005,3.2,124.0,0
10.2,0.26,0.38,0.04,6.79,3.17,95.0,0
8.9,0.32,0.47,0.047,6.470000000000001,3.17,159.0,0
10.6,0.3,0.46,0.043,6.16,3.63,110.0,0
11.0,0.32,0.68,0.044000000000000004,6.8,3.37,56.0,1
10.8,0.56,0.43,0.04,8.245,3.25,76.0,0
12.1,0.28,0.35,0.036000000000000004,6.989999999999999,3.07,82.0,0
9.4,0.32,0.48,0.24,6.67,3.12,113.0,0
9.5,0.48,0.47,0.044000000000000004,6.45,3.25,162.0,0
9.5,0.44,0.48,0.043,6.74,3.18,147.0,0
10.5,0.27,0.38,0.04,6.44,3.23,81.0,0
9.4,0.39,0.38,0.171,6.96,3.19,136.0,0
11.0,0.41,0.59,0.048,6.29,3.09,94.0,1
12.4,0.26,0.37,0.036000000000000004,7.08,2.98,56.0,0
10.8,0.37,0.63,0.04,8.08,3.18,59.0,0
11.1,0.39,0.4,0.051,6.45,3.23,93.0,0
11.5,0.27,0.39,0.031,7.16,3.12,60.0,0
11.2,0.29,0.51,0.023,5.83,3.25,70.0,0
9.6,0.19,0.44,0.096,6.72,3.02,99.0,0
9.2,0.3,0.34,0.037000000000000005,6.630000000000001,3.06,173.0,0
10.2,0.35,0.51,0.036000000000000004,7.46,3.27,79.0,0
9.2,0.26,0.46,0.038,5.72,3.36,79.0,0
11.3,0.28,0.37,0.048,7.640000000000001,3.21,90.0,1
11.0,0.3,0.64,0.059000000000000004,7.04,3.46,128.0,1
12.1,0.38,0.43,0.027999999999999997,6.86,3.1,62.0,1
8.9,0.3,0.48,0.049,7.66,3.13,119.0,0
9.5,0.38,0.7,0.062,9.43,3.1,293.5,0
9.1,0.54,0.45,0.049,7.58,3.06,100.5,0
12.2,0.16,0.37,0.042,6.0,3.23,55.0,0
9.3,0.44,0.57,0.05,6.8999999999999995,3.19,195.0,0
12.3,0.33,0.42,0.028999999999999998,6.09,3.25,58.0,0
10.5,0.27,0.44,0.038,6.8,3.11,101.0,1
8.9,0.08,0.46,0.062,7.4399999999999995,3.37,116.0,0
13.2,0.28,0.4,0.035,6.909999999999999,3.0,79.0,0
9.5,0.31,0.45,0.054000000000000006,8.6,2.96,73.0,0
13.5,0.13,0.88,0.027999999999999997,5.9,3.48,95.0,1
10.13333333,0.33,0.58,0.036000000000000004,6.17,3.32,81.0,1
13.0,0.24,0.6,0.043,7.21,3.22,141.0,0
11.0,0.35,0.54,0.03,7.130000000000001,2.8,71.0,0
12.7,0.19,0.54,0.033,6.800000000000001,3.22,96.0,1
9.2,0.25,0.43,0.039,5.239999999999999,3.22,74.0,0
8.7,0.33,0.44,0.051,6.68,3.28,115.0,1
11.0,0.32,0.41,0.036000000000000004,6.36,3.22,110.0,0
9.8,0.74,0.45,0.054000000000000006,6.95,3.51,125.0,0
10.3,0.35,0.5,0.054000000000000006,7.42,3.08,146.0,0
11.73333333,0.41,0.64,0.036000000000000004,6.24,3.04,76.0,0
12.2,0.43,0.56,0.021,7.54,3.08,49.0,0
9.7,0.4,0.8,0.066,7.83,3.17,77.0,0
10.8,0.39,0.44,0.044000000000000004,7.8,3.46,150.0,1
9.4,0.19,0.5,0.04,7.38,3.16,136.0,0
10.8,0.33,0.65,0.043,7.23,3.04,64.0,0
8.9,0.59,0.46,0.046,7.76,3.17,106.0,0
13.9,0.2,0.78,0.027000000000000003,6.12,3.36,106.0,1
11.2,0.26,0.48,0.04,7.52,3.27,140.0,0
9.2,0.26,0.44,0.067,7.83,3.03,134.0,0
11.1,0.13,0.25,0.036000000000000004,7.65,3.09,31.0,0
13.5,0.4,0.45,0.033,7.46,3.2,92.0,1
11.4,0.49,0.35,0.052000000000000005,7.02,3.25,102.0,0
10.9,0.26,0.37,0.03,5.79,3.25,64.0,1
10.7,0.43,0.47,0.05,7.12,3.27,61.0,0
11.4,0.29,0.32,0.032,8.69,2.91,51.0,0
9.2,0.38,0.48,0.11199999999999999,7.28,3.02,80.0,0
9.8,0.45,0.56,0.06,6.5600000000000005,3.31,162.0,0
10.4,0.33,0.5,0.046,6.51,3.36,111.0,0
9.5,0.18,0.42,0.055999999999999994,7.05,3.11,124.0,0
9.3,0.36,0.51,0.042,8.600000000000001,3.23,136.0,0
9.0,0.29,0.5,0.051,6.28,3.14,138.0,0
12.6,0.35,0.54,0.096,9.190000000000001,2.95,58.0,0
10.5,0.24,0.52,0.043,7.06,3.18,84.0,0
9.5,0.29,0.56,0.034,7.81,3.14,163.0,0
9.9,0.48,0.57,0.040999999999999995,8.41,3.17,88.0,0
11.6,0.4,0.5,0.022000000000000002,5.949999999999999,3.54,151.0,1
11.45,0.29,0.39,0.046,7.74,3.04,50.0,0
9.3,0.22,0.4,0.049,7.8999999999999995,3.08,134.0,0
9.2,0.48,0.45,0.052000000000000005,6.35,3.07,69.0,0
11.4,0.42,0.49,0.040999999999999995,8.799999999999999,3.11,90.0,1
10.0,0.38,0.44,0.054000000000000006,7.65,3.24,82.0,0
10.6,0.31,0.68,0.043,7.66,3.42,120.0,0
11.2,0.46,0.6,0.040999999999999995,7.390000000000001,3.19,105.0,1
12.6,0.31,0.62,0.03,6.76,3.22,56.0,1
11.2,0.26,0.5,0.039,6.04,3.33,99.0,0
9.8,0.29,0.4,0.027999999999999997,5.51,3.3,55.0,0
10.0,0.35,0.44,0.052000000000000005,7.140000000000001,3.45,111.0,0
11.3,0.28,0.54,0.038,6.24,3.3,73.0,1
11.4,0.29,0.45,0.048,7.66,3.06,59.0,0
10.1,0.3,0.5,0.038,7.95,3.1,129.0,0
12.5,0.33,0.65,0.033,7.01,3.29,62.0,0
8.6,0.19,0.35,0.046,6.77,3.25,108.0,0
9.0,0.39,0.46,0.057999999999999996,7.33,2.9,146.0,0
12.7,0.37,0.49,0.019,7.46,3.08,75.0,1
9.5,0.18,0.49,0.044000000000000004,6.83,3.16,129.0,0
12.2,0.49,0.42,0.063,6.57,3.38,57.0,0
11.9,0.36,0.4,0.034,7.55,3.25,147.0,1
10.3,0.36,0.46,0.049,7.779999999999999,3.6,85.0,0
9.5,0.29,0.35,0.05,7.640000000000001,3.13,84.0,0
9.3,0.49,0.42,0.048,7.6000000000000005,3.01,127.0,0
8.9,0.58,0.46,0.046,7.98,3.08,117.0,0
11.1,0.49,0.54,0.037000000000000005,14.469999999999999,3.15,123.0,0
11.0,0.38,0.65,0.043,7.8999999999999995,3.17,88.0,0
13.3,0.3,0.64,0.025,6.32,3.07,94.0,1
9.4,0.3,0.47,0.17,6.8999999999999995,3.18,106.0,0
9.5,0.27,0.47,0.05,7.77,3.08,75.0,0
10.4,0.32,0.44,0.047,6.9799999999999995,3.42,92.0,0
8.8,0.48,0.75,0.05,6.91,2.95,164.0,0
10.3,0.28,0.6,0.051,7.23,3.27,150.0,0
8.9,0.38,0.82,0.055,8.6,3.34,119.0,0
10.5,0.32,0.44,0.045,7.22,2.98,80.0,0
12.6,0.25,0.71,0.038,6.9399999999999995,3.36,105.0,0
12.2,0.23,0.53,0.026000000000000002,5.62,3.18,93.0,0
11.5,0.27,0.52,0.040999999999999995,7.369999999999999,3.04,88.0,1
12.2,0.34,0.44,0.035,7.15,3.18,55.0,0
10.4,0.34,0.63,0.046,6.26,3.29,23.0,0
12.2,0.33,0.38,0.032,7.19,3.31,85.0,0
9.4,0.3,0.39,0.054000000000000006,6.130000000000001,3.28,113.0,0
8.7,0.27,0.36,0.042,7.01,3.3,105.0,0
12.3,0.28,0.33,0.034,6.74,3.25,57.0,0
10.6,0.45,0.38,0.040999999999999995,7.68,3.01,91.0,0
9.5,0.47,0.64,0.039,9.71,2.9,102.0,0
9.9,0.29,0.48,0.043,5.7749999999999995,3.28,47.0,0
12.6,0.33,0.41,0.034,7.11,3.25,88.0,1
10.1,0.36,0.67,0.039,6.82,3.07,82.0,1
10.9,0.32,0.55,0.027999999999999997,6.62,3.13,68.0,1
8.9,0.58,0.46,0.081,6.51,2.95,92.0,0
10.3,0.36,0.39,0.033,8.16,3.2,108.0,0
10.0,0.23,0.54,0.048,6.47,3.08,103.0,0
9.7,0.55,0.29,0.038,7.25,3.11,89.0,0
9.2,0.29,0.48,0.039,7.5,3.1,168.0,0
9.9,0.74,0.46,0.038,7.0,3.21,122.0,0
10.4,0.34,0.7,0.043,7.83,3.12,105.0,0
12.1,0.24,0.74,0.026000000000000002,8.0,3.08,163.0,1
9.5,0.19,0.64,0.085,6.67,3.49,175.0,0
9.0,0.28,0.39,0.051,7.15,2.96,120.0,1
8.9,0.31,0.53,0.053,7.9799999999999995,3.06,94.0,0
10.5,0.49,0.98,0.053,6.640000000000001,3.01,95.0,0
9.5,0.18,0.42,0.055999999999999994,7.05,3.11,124.0,0
12.3,0.27,0.59,0.034,8.1,3.21,68.0,1
12.8,0.3,0.38,0.022000000000000002,5.79,3.34,90.0,1
10.46666667,0.14,0.46,0.036000000000000004,5.235,3.47,99.0,0
9.5,0.28,0.43,0.055999999999999994,6.05,3.42,130.0,0
9.5,0.27,0.56,0.057,6.84,3.22,119.0,0
9.2,0.35,0.47,0.042,6.630000000000001,3.23,86.0,0
10.5,0.25,0.34,0.032,5.845,3.31,56.0,0
9.6,0.42,0.57,0.047,6.2,3.25,206.5,0
10.6,0.24,0.38,0.031,7.81,3.16,113.0,1
11.6,0.34,0.52,0.04,6.180000000000001,3.31,144.0,0
9.4,0.21,0.45,0.053,7.23,3.12,109.0,0
10.4,0.22,0.49,0.048,7.21,3.34,130.0,0
12.7,0.49,0.34,0.045,7.42,3.05,106.0,0
10.4,0.28,0.54,0.045,7.21,3.25,184.0,0
8.7,0.62,0.5,0.047,7.59,3.16,112.0,0
10.1,0.26,0.55,0.054000000000000006,7.36,3.38,183.0,0
11.2,0.3,0.47,0.043,7.16,2.88,56.0,0
12.2,0.3,0.46,0.036000000000000004,7.15,3.12,138.0,0
9.0,0.39,0.47,0.038,7.45,2.97,113.0,0
11.5,0.4,0.68,0.036000000000000004,7.090000000000001,3.08,41.0,1
10.3,0.33,0.48,0.048,8.34,3.16,95.0,0
12.0,0.74,0.7,0.08800000000000001,7.14,3.51,162.0,0
12.0,0.24,0.51,0.03,7.890000000000001,3.13,119.0,1
9.4,0.32,0.41,0.054000000000000006,7.22,3.4,98.0,0
8.7,0.74,0.4,0.039,7.6,3.02,119.0,0
9.3,0.26,0.55,0.057999999999999996,8.22,3.14,165.0,0
11.6,0.34,0.45,0.040999999999999995,5.84,3.04,59.0,1
9.1,0.54,0.45,0.049,7.58,3.06,90.0,0
9.2,0.18,0.71,0.095,6.58,3.53,167.0,0
9.5,0.74,0.54,0.044000000000000004,6.76,3.18,156.0,0
9.5,0.17,0.3,0.04,8.55,3.09,47.0,0
11.4,0.31,0.49,0.039,7.16,3.32,138.0,0
11.3,0.36,0.58,0.034,6.96,3.02,66.0,0
10.5,0.34,0.52,0.06,7.06,3.24,120.0,0
10.9,0.0,0.4,0.037000000000000005,6.59,3.1,65.0,0
10.6,0.28,0.43,0.038,6.13,3.59,133.5,1
11.5,0.28,0.55,0.032,6.6000000000000005,3.31,60.0,0
10.4,0.32,0.31,0.06,5.74,3.27,83.0,0
12.0,0.26,0.51,0.042,7.26,3.38,55.0,1
11.8,0.4,0.3,0.031,6.319999999999999,3.03,86.0,1
9.2,0.25,0.61,0.04,7.28,3.28,163.0,0
13.0,0.27,0.44,0.036000000000000004,6.28,3.19,103.0,1
11.0,0.42,0.46,0.05,7.470000000000001,2.94,100.0,0
13.0,0.28,0.57,0.032,6.12,3.16,69.0,1
11.0,0.36,0.32,0.036000000000000004,7.73,3.04,118.0,0
9.7,0.21,0.38,0.05,8.74,3.06,109.0,0
10.5,0.31,0.46,0.040999999999999995,6.050000000000001,3.52,102.0,0
12.8,0.49,0.67,0.044000000000000004,7.909999999999999,3.08,104.0,1
9.6,0.49,0.58,0.036000000000000004,7.83,3.08,137.0,0
11.8,0.3,0.61,0.040999999999999995,6.5,3.31,53.0,1
12.9,0.31,0.39,0.035,6.5,3.26,66.0,1
10.2,0.37,0.61,0.03,7.2,3.28,110.0,0
11.4,0.28,0.41,0.043,6.1000000000000005,3.4,55.0,0
9.6,0.24,0.31,0.047,7.95,2.94,77.0,0
12.3,0.24,0.4,0.034,6.9399999999999995,3.1,70.0,1
10.8,0.3,0.45,0.045,7.34,2.99,98.0,0
12.3,0.36,0.71,0.033,7.5200000000000005,3.1,77.0,1
9.3,0.47,0.49,0.055999999999999994,7.409999999999999,3.1,143.0,0
10.4,0.49,0.81,0.046,6.86,3.62,130.0,0
12.1,0.49,0.28,0.036000000000000004,8.01,3.05,79.0,1
8.9,0.24,0.45,0.047,6.28,3.1,69.0,0
12.0,0.58,0.6,0.034,5.779999999999999,3.51,100.0,1
10.7,0.35,0.63,0.038,7.090000000000001,3.0,69.0,0
9.0,0.17,0.51,0.047,7.08,3.21,113.0,0
12.6,0.36,0.62,0.035,6.47,3.31,80.0,0
10.6,0.3,0.47,0.025,6.66,3.21,101.0,0
9.3,0.21,0.47,0.098,7.39,3.03,78.0,0
9.0,0.74,0.67,0.044000000000000004,7.279999999999999,3.38,132.0,0
9.0,0.27,0.44,0.034,7.44,3.2,134.0,0
11.8,0.42,0.43,0.027999999999999997,6.47,3.27,62.0,0
13.0,0.21,0.54,0.034,7.16,3.26,76.0,0
9.2,0.25,0.42,0.046,6.73,3.15,95.0,0
9.2,0.74,0.7,0.051,9.06,2.99,192.0,0
9.0,0.24,0.47,0.09300000000000001,7.71,3.41,162.0,0
9.8,0.34,0.5,0.035,8.379999999999999,3.14,115.0,0
8.5,0.3,0.4,0.034,6.5,3.47,117.0,0
10.5,0.19,0.39,0.046,6.31,3.22,80.0,0
9.7,0.38,0.54,0.027999999999999997,6.38,3.47,81.0,0
10.2,0.33,0.36,0.035,6.79,3.15,106.0,0
11.0,0.45,0.56,0.039,8.440000000000001,3.02,80.0,0
9.4,0.22,0.57,0.081,7.300000000000001,3.4,227.0,0
8.7,0.56,0.46,0.043,7.300000000000001,3.14,102.0,0
9.0,0.32,0.38,0.052000000000000005,7.109999999999999,3.14,108.0,0
9.1,0.12,0.45,0.096,8.16,3.32,155.0,0
8.9,0.26,0.36,0.048,6.19,3.3,97.0,0
8.7,0.23,0.46,0.05,7.62,3.2,148.0,0
10.7,0.23,0.42,0.051,6.82,3.03,118.0,0
9.1,0.58,0.3,0.133,6.819999999999999,3.1,84.0,0
11.3,0.24,0.43,0.031,8.14,3.12,126.0,1
9.1,0.28,0.5,0.055,6.75,3.42,151.0,1
9.2,0.28,0.29,0.04,8.040000000000001,3.27,86.0,0
9.5,0.31,0.53,0.061,6.95,3.16,187.5,0
10.1,0.49,0.46,0.059000000000000004,9.379999999999999,3.15,102.0,0
10.6,0.32,0.42,0.028999999999999998,9.700000000000001,2.85,97.0,0
9.0,0.43,0.51,0.055999999999999994,6.470000000000001,3.1,196.0,0
11.0,0.35,0.63,0.057,9.15,3.04,331.0,0
12.5,0.49,0.46,0.031,7.82,3.07,65.0,0
9.0,0.43,0.5,0.083,6.76,2.85,121.0,0
10.5,0.3,0.61,0.042,7.35,3.43,97.0,0
10.5,0.42,0.31,0.045,7.279999999999999,2.95,110.0,0
9.8,0.25,0.52,0.066,6.66,3.25,145.0,0
12.8,0.29,0.32,0.03,8.62,3.0,69.0,1
8.7,0.31,0.41,0.046,7.04,3.3,102.0,0
11.4,0.33,0.76,0.036000000000000004,6.92,3.1,50.0,0
10.6,0.49,0.48,0.051,8.08,3.18,121.0,0
9.0,0.36,0.48,0.067,7.65,3.01,125.0,0
13.2,0.37,0.43,0.027999999999999997,7.7299999999999995,3.23,97.0,0
11.1,0.38,0.4,0.026000000000000002,6.81,3.25,64.0,1
9.3,0.61,0.5,0.053,6.81,3.09,92.0,0
9.3,0.55,0.4,0.045,6.65,2.97,87.0,0
10.0,0.24,0.56,0.044000000000000004,7.369999999999999,3.04,70.0,1
9.6,0.3,0.5,0.047,7.07,3.16,91.0,0
9.4,0.26,0.49,0.054000000000000006,6.630000000000001,3.12,134.0,0
9.9,0.44,0.48,0.04,9.16,3.19,112.0,0
10.1,0.1,0.48,0.057,6.2700000000000005,3.24,89.0,0
9.3,0.06,0.55,0.066,6.36,3.26,101.0,0
9.5,0.36,0.55,0.04,8.78,3.25,163.0,0
9.3,0.31,0.38,0.138,6.859999999999999,3.2,127.0,0
10.5,0.29,0.6,0.040999999999999995,7.98,3.44,134.0,0
9.8,0.26,0.6,0.053,7.67,3.11,118.0,0
11.0,0.38,0.3,0.044000000000000004,6.62,2.97,92.0,1
10.6,0.42,0.43,0.045,8.28,3.17,128.0,0
10.5,0.25,0.64,0.047,6.359999999999999,3.44,151.0,0
9.0,0.38,0.44,0.057999999999999996,7.430000000000001,3.09,139.0,0
9.6,0.26,0.5,0.05,6.720000000000001,3.14,127.0,0
11.2,0.29,0.58,0.033,7.050000000000001,3.1,68.0,1
12.9,0.29,0.25,0.038,6.615,3.12,93.0,1
11.2,0.74,0.48,0.036000000000000004,7.27,3.35,95.0,0
9.3,0.25,0.5,0.040999999999999995,7.2,3.18,98.0,0
11.0,0.3,0.57,0.039,6.17,2.91,65.0,0
10.6,0.48,0.64,0.049,7.99,3.17,142.0,0
11.1,0.59,0.41,0.037000000000000005,7.26,3.34,80.0,1
9.3,0.36,0.42,0.185,6.86,3.17,99.5,0
11.3,0.36,0.52,0.04,7.92,3.23,123.0,0
11.2,0.24,0.43,0.037000000000000005,6.59,3.23,93.0,1
10.4,0.29,0.58,0.052000000000000005,7.08,3.02,98.0,0
12.4,0.37,0.54,0.03,8.31,3.17,74.0,1
12.75,0.3,0.58,0.026000000000000002,6.08,3.26,69.0,0
12.5,0.32,0.58,0.034,6.300000000000001,3.51,77.0,1
12.9,0.3,0.41,0.03,6.2,3.41,104.0,1
9.8,0.48,0.53,0.053,6.6,3.18,115.0,0
9.4,0.26,0.45,0.049,5.95,3.08,53.5,0
8.7,0.3,0.44,0.055999999999999994,7.5600000000000005,2.9,135.0,1
8.8,0.23,0.46,0.047,6.819999999999999,3.08,81.0,0
9.6,0.26,0.41,0.046,6.49,3.16,149.0,0
8.8,0.25,0.37,0.05,6.72,3.3,94.0,0
9.8,0.24,0.54,0.04,7.029999999999999,3.14,105.0,0
11.1,0.32,0.52,0.039,6.85,2.96,53.0,0
11.0,0.38,0.37,0.037000000000000005,7.4,3.21,53.0,0
11.2,0.32,0.41,0.032,6.5,3.28,100.0,1
11.0,0.29,0.58,0.068,6.85,3.34,85.0,1
11.0,0.26,0.42,0.049,6.2,3.15,71.0,0
10.4,0.49,0.68,0.033,8.379999999999999,3.0,53.0,1
12.2,0.4,0.46,0.042,6.550000000000001,3.11,64.0,1
12.5,0.36,0.63,0.028999999999999998,7.44,3.13,42.0,0
9.3,0.44,0.54,0.048,7.119999999999999,3.26,191.0,0
11.2,0.27,0.39,0.04,5.69,3.5,51.0,0
9.7,0.09,0.48,0.042,6.1,3.15,102.0,0
9.8,0.29,0.37,0.059000000000000004,7.869999999999999,3.09,78.0,0
9.5,0.34,0.51,0.055999999999999994,7.85,3.1,142.0,0
9.2,0.82,0.38,0.152,7.025,2.99,71.0,0
9.0,0.3,0.52,0.062,6.9799999999999995,3.0,152.0,1
12.2,0.26,0.47,0.038,7.04,3.0,80.0,1
10.2,0.04,0.51,0.046,6.260000000000001,3.22,66.0,0
12.9,0.29,0.33,0.028999999999999998,8.17,3.03,67.0,0
11.6,0.42,0.38,0.036000000000000004,6.5,3.13,100.0,0
12.4,0.34,0.32,0.036000000000000004,7.03,2.99,85.0,1
9.5,0.26,0.5,0.054000000000000006,6.640000000000001,3.12,135.0,0
12.1,0.35,0.33,0.027999999999999997,7.38,2.96,56.0,0
9.9,0.49,0.32,0.027999999999999997,9.030000000000001,2.91,18.0,0
12.1,0.35,0.41,0.042,8.14,3.11,159.0,0
10.8,0.36,0.45,0.053,6.680000000000001,3.31,158.0,0
8.9,0.42,0.44,0.038,6.87,3.04,97.0,0
9.5,0.71,0.5,0.042,6.99,2.85,93.0,0
12.2,0.28,0.46,0.03,7.38,3.16,166.0,1
9.8,0.21,0.5,0.07400000000000001,8.76,3.02,156.0,0
11.7,0.34,0.42,0.035,6.0,3.5,46.0,0
10.8,0.29,0.29,0.02,7.65,3.13,82.0,0
9.7,0.31,0.34,0.059000000000000004,7.5600000000000005,3.29,100.0,0
9.9,0.74,0.39,0.172,6.54,3.27,84.0,0
10.7,0.3,0.53,0.04,7.57,3.28,58.0,0
9.1,0.3,0.49,0.053,7.590000000000001,3.14,180.5,1
8.6,0.3,0.43,0.039,6.58,3.05,91.0,0
10.4,0.38,0.39,0.047,7.15,3.13,63.0,1
10.8,0.07,0.28,0.03,6.8500000000000005,2.97,121.0,0
12.2,0.31,0.58,0.031,7.32,3.38,77.0,1
9.4,0.42,0.54,0.066,7.300000000000001,3.12,135.0,0
9.5,0.29,0.6,0.048,7.28,3.0,137.0,0
11.5,0.47,0.43,0.03,6.2,3.52,114.0,1
9.9,0.16,0.62,0.037000000000000005,6.46,3.17,162.0,0
